account_id,personaname,rank_tier,total_games,label_source,flagged_at,notes
275501116,88,80,0,source1_rank_jump_weak,2026-07-04T10:16:33.524693+00:00,total_games=0 is ambiguous: could be genuinely new account OR an established account with 'Expose Public Match Data' disabled (confirmed both cases exist in our data — see Nikobaby smurf test). NOT usable as a standalone weak label without further disambiguation.
205367939,N0NStop,63,0,source1_rank_jump_weak,2026-07-04T10:16:33.524693+00:00,total_games=0 is ambiguous: could be genuinely new account OR an established account with 'Expose Public Match Data' disabled (confirmed both cases exist in our data — see Nikobaby smurf test). NOT usable as a standalone weak label without further disambiguation.
108781912,Maximilien Robespierre,74,0,source1_rank_jump_weak,2026-07-04T10:16:33.524693+00:00,total_games=0 is ambiguous: could be genuinely new account OR an established account with 'Expose Public Match Data' disabled (confirmed both cases exist in our data — see Nikobaby smurf test). NOT usable as a standalone weak label without further disambiguation.
89187133,Trance,65,0,source1_rank_jump_weak,2026-07-04T10:16:33.524693+00:00,total_games=0 is ambiguous: could be genuinely new account OR an established account with 'Expose Public Match Data' disabled (confirmed both cases exist in our data — see Nikobaby smurf test). NOT usable as a standalone weak label without further disambiguation.
165569355,positive mental attitude,72,0,source1_rank_jump_weak,2026-07-04T10:16:33.524693+00:00,total_games=0 is ambiguous: could be genuinely new account OR an established account with 'Expose Public Match Data' disabled (confirmed both cases exist in our data — see Nikobaby smurf test). NOT usable as a standalone weak label without further disambiguation.
902530115,Level 4 Armor.,80,0,source1_rank_jump_weak,2026-07-04T10:16:33.524693+00:00,total_games=0 is ambiguous: could be genuinely new account OR an established account with 'Expose Public Match Data' disabled (confirmed both cases exist in our data — see Nikobaby smurf test). NOT usable as a standalone weak label without further disambiguation.
210838641,savvy (mid only),73,0,source1_rank_jump_weak,2026-07-04T10:16:33.524693+00:00,total_games=0 is ambiguous: could be genuinely new account OR an established account with 'Expose Public Match Data' disabled (confirmed both cases exist in our data — see Nikobaby smurf test). NOT usable as a standalone weak label without further disambiguation.
216974471,Welberin,75,0,source1_rank_jump_weak,2026-07-04T10:16:33.524693+00:00,total_games=0 is ambiguous: could be genuinely new account OR an established account with 'Expose Public Match Data' disabled (confirmed both cases exist in our data — see Nikobaby smurf test). NOT usable as a standalone weak label without further disambiguation.
357623043,m0rt,71,0,source1_rank_jump_weak,2026-07-04T10:16:33.524693+00:00,total_games=0 is ambiguous: could be genuinely new account OR an established account with 'Expose Public Match Data' disabled (confirmed both cases exist in our data — see Nikobaby smurf test). NOT usable as a standalone weak label without further disambiguation.
87172548,xxXxx,71,0,source1_rank_jump_weak,2026-07-04T10:16:33.524693+00:00,total_games=0 is ambiguous: could be genuinely new account OR an established account with 'Expose Public Match Data' disabled (confirmed both cases exist in our data — see Nikobaby smurf test). NOT usable as a standalone weak label without further disambiguation.
1119487515,Destroy,80,0,source1_rank_jump_weak,2026-07-04T10:16:33.524693+00:00,total_games=0 is ambiguous: could be genuinely new account OR an established account with 'Expose Public Match Data' disabled (confirmed both cases exist in our data — see Nikobaby smurf test). NOT usable as a standalone weak label without further disambiguation.
171928034,Pos5 only,80,0,source1_rank_jump_weak,2026-07-04T10:16:33.524693+00:00,total_games=0 is ambiguous: could be genuinely new account OR an established account with 'Expose Public Match Data' disabled (confirmed both cases exist in our data — see Nikobaby smurf test). NOT usable as a standalone weak label without further disambiguation.
358976307,Judas,80,0,source1_rank_jump_weak,2026-07-04T10:16:33.524693+00:00,total_games=0 is ambiguous: could be genuinely new account OR an established account with 'Expose Public Match Data' disabled (confirmed both cases exist in our data — see Nikobaby smurf test). NOT usable as a standalone weak label without further disambiguation.
859884496,EyesPog,55,0,source1_rank_jump_weak,2026-07-04T10:16:33.524693+00:00,total_games=0 is ambiguous: could be genuinely new account OR an established account with 'Expose Public Match Data' disabled (confirmed both cases exist in our data — see Nikobaby smurf test). NOT usable as a standalone weak label without further disambiguation.
